Item Code,Item Name,Standard Rate,Image Name
M02135,"New",243.75,M02135.jpg
M02134,"New",465.00,M02134.jpg
M02133,"New",255.00,M02133.jpg
M02132,"New",450.00,M02132.jpg
M02131,"New",243.75,M02131.jpg
M02129,"New",787.50,M02129.jpg
M02116,"Foldable Laundry Basket with Wheels",1239.00,M02116.jpg
M02115,"2-Tier Fruit & Vegetable Basket for Dining Table/Kitchen Fruit Basket (Black)",507.00,M02115.jpg
M01416,"Basket Rotating trolly 3 tier (ms black coated) (K-189)",1599.00,M01416.jpg
M01419,"Basket rotating trolley (perforated) 3 tier (ms black coated) (K-192)",1599.00,M01419.jpg
M01413,"basket collapsible 3 layer folding (K-203)",1699.00,M01413.jpg
M01418,"Basket rotating trolley (perforated) 4 tier (ms black coated) (K-191)",2099.00,M01418.jpg
M01415,"Basket Rotating trolly 4 tier (ms black coated) (K-188)",2099.00,M01415.jpg
M01417,"Basket rotating trolley (perforated) 5 tier (ms black coated)(K-190)",2499.00,M01417.jpg
M01414,"Basket Rotating trolly 5 tier (ms black coated) (K-187)",2499.00,M01414.jpg
M01410,"Basket collapsible 5 layer folding",2499.00,M01410.jpg
M00798,"KITCHEN RACK 5 LAYER SQUARE",4999.99,M00798.jpg
M00801,"KITCHEN RACK 5 LAYER ROUND",4999.99,M00801.jpg
M00800,"KITCHEN RACK 4 LAYER ROUND",3999.99,M00800.jpg
M00797,"KITCHEN RACK 4 LAYER SQUARE",3999.99,M00797.jpg
M00796,"KITCHEN RACK 3 LAYER SQUARE",2999.99,M00796.jpg
M00799,"KITCHEN RACK 3 LAYER ROUND",2999.99,M00799.jpg
M01411,"Basket collapsible 4 layer folding",2299.00,M01411.jpg
M00266,"Basket Wire S.S. 25Inch",1499.00,M00266.jpg
M00265,"Basket Wire S.S. 22Inch",999.00,M00265.jpg
M01546,"Basket Organizer 3 Layer",999.00,M01546.jpg
M00721,"BASKET 3 PCS SET",403.64,M00721.jpg
M00140,"Fruit Basket Revolving",198.33,M00140.jpg
M01634,"Basket 3 Pcs Set (j.K)",299.00,M01634.jpg
M01633,"Basket Glorry 5000ml (j.K)",169.00,M01633.jpg
M01632,"Basket Glorry 4000ml (j.K)",149.00,M01632.jpg
M00155,"Storage Basket With Handle",99.00,M00155.jpg
M00134,"Plastic kitchen basket & colander",99.00,M00134.jpg
M02082,"Kitchen Sink Corner",199.00,M02082.jpg
M02090,"Bathing Mug Lion 1000ml[12pcs]",199.00,M02090.jpg
M01554,"shop stand plastic (rupapra)",34.00,M01554.jpg
M01373,"Soap Dish Plastic (12 Pcs)",149.00,M01373.jpg
M00347,"TOOTH BRUSH STAND WOODEN",149.00,M00347.jpg
M01387,"Soap Stand Plastic With Cover(12 Pcs)",150.00,M01387.jpg
M00198,"Bathroom Holder",199.00,M00198.jpg
M00505,"Elaneer Opner Premium Qulity.",199.00,M00505.jpg
M00628,"OPENER BOTTLE",59.00,M00628.jpg
M00370,"Apple Shape Serving Bowl Set 2pcs Multipurpose",499.00,M00370.jpg
M01349,"Bottle Baby Sip Mug",150.00,M01349.jpg
M01420,"Coffee Mug uniq",99.00,M01420.jpg
M01980,"Mug Premium 300ml",199.00,M01980.jpg
M00020,"Tea Cup 6pcs Set",299.00,M00020.jpg
M01456,"Tea Cup Classic 6 Pcs Set (lezza)",199.00,M01456.jpg
M00482,"Cup Cutting Chai 6pcs Set With S.S. Stand",499.00,M00482.jpg
M00845,"MAGGIE BOWL 650ML[A]",214.94,M00845.jpg
M00722,"BOWL SOUP 6pcs Set",157.02,M00722.jpg
M00595,"RISE BOWL",199.00,M00595.jpg
M01356,"Bowl Rice Luz",49.00,M01356.jpg
M00744,"Wiper Multicolor",49.00,M00744.jpg
M00234,"Mop Pastic Jali",999.00,M00234.jpg
M00742,"MOP ROUND PLASTIC JALI",1299.00,M00742.jpg
M00740,"MOP SQUARE PLASTIC JALI",1299.00,M00740.jpg
M00743,"MOP ROUND SS JALI",1399.00,M00743.jpg
M00741,"MOP SQUARE SS JALI",1399.00,M00741.jpg
M01543,"Mop Plastic Jali Squre",1200.00,M01543.jpg
M01508,"Mop Plastic Jali Regular (SUMO)",699.00,M01508.jpg
M01542,"Mop S.S. Jali Squre",1450.00,M01542.jpg
M01509,"Mop Steel Jali Regular (SUMO)",599.00,M01509.jpg
M01412,"Mop Road Set",199.00,M01412.jpg
M01401,"Mop S.S. Jali With Well (prakash)",899.00,M01401.jpg
M01400,"Mop Plastic Jali With Well (prakash)",799.00,M01400.jpg
M01341,"Mop S.S.Jali Ekta",999.00,M01341.jpg
M01340,"Mop Pla.Jali Ekta",999.00,M01340.jpg
M00390,"Kotak Mop Yarn.",199.00,M00390.jpg
M00389,"Bottle Mop Yarn.",199.00,M00389.jpg
M00385,"Wiper Mop Without Road [16 Inch]..",199.00,M00385.jpg
M00388,"6Inch Clip Mop Yarn.",199.00,M00388.jpg
M00387,"9Inch Clip Mop Yarn.",199.00,M00387.jpg
M00190,"Filter Candle Regular Plastic Cap",199.00,M00190.jpg
M00409,"Button Candle",199.00,M00409.jpg
M01921,"Button Candle Plastic Cap",99.00,M01921.jpg
M00085,"Candle Water Filter Regular",999.00,M00085.jpg
M00214,"Filter Candle Low-Height Plastic Cap",199.00,M00214.jpg